STATE,FAC_NAME,ST_ADR,PHONE,INPT_BEDS,ADMIT_AGE_MIN,ADMIT_AGE_MAX,TRACH,VENT,PN,STATUS,PRVDR_NUM,ZIP,FREE,latitude,longitude
CT,"GAYLORD HOSPITAL, INC.","072003 - GAYLORD FARM RD, WALLINGFORD, CT, 06492, USA",2032842810,36,14,,0,0,0,3.0,072003,06492,0,41.4744881,-72.8588698
CT,HOSPITAL FOR SPECIAL CARE,"072004 - 2150 CORBIN AVE, NEW BRITAIN, CT, 06050, USA",8608274715,30,0,18,1,1,1,1.0,072004,06050,1,41.6886342,-72.8025411
CT,"MOUNT SINAI REHABILITATION HOSPITAL, INC.","073025 - 490 BLUE HILLS AVENUE, HARTFORD, CT, 06112, USA",8607143500,60,15,,1,0,0,2.0,073025,06112,0,41.7996642,-72.6936441
PA,ALLIED SERVICES INSTITUTE OF REHABILITATION MEDICINE,"393030 - 475 MORGAN HIGHWAY, SCRANTON, PA, 18508, USA",5703481300,50,13,,2,0,0,3.0,393030,18411,,41.4471068,-75.67525069999999
PA,JOHN HEINZ INSTITUTE OF REHABILITATION MEDICINE,"393036 - 150 MUNDY STREET, WILKES BARRE TOWNSHI, PA, 18702, USA",5708263800,47,16,,1,0,0,2.0,393036,18702,,41.2463434,-75.85430319999999
PA,CHILDREN'S HOME OF PITTSBURGH,"393304 - 5324 PENN AVENUE, PITTSBURGH, PA, 15224, USA",4124414884,30,0,21,1,1,1,1.0,393304,15224,1,40.4643001,-79.9378516
PA,"CHILDREN'S HOSPITAL OF PHILADELPHIA, THE","399812 - 34TH STREET AND CIVIC CENTER BLVD, PHILADELPHIA, PA, 19104, USA",2674266922,18,0,21,1,1,3,1.0,399812,19104,0,39.948865,-75.1929023
PA,"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ERIE, LLC","393046 - 143 EAST SECOND STREET, ERIE, PA, 16507, USA",8148781200,54,15,,1,0,1,3.0,393046,16507,,42.1340504,-80.08431329999999
PA,"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF HARMARVILLE, LLC","393027 - 320 GUYS RUN ROAD, PITTSBURGH, PA, 15238, USA",4128281300,60,16,,1,2,1,3.0,393027,15238,,40.5503732,-79.8715319
PA,"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF READING, LLC","393026 - 1623 MORGANTOWN ROAD, READING, PA, 19607, USA",6107966000,60,16,,1,0,2,3.0,393026,19607,,40.2885317,-75.92500299999999
PA,"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF YORK, LLC","393037 - 1850 NORMANDIE DRIVE, YORK, PA, 17404, USA",7177676941,90,13,,1,0,1,2.0,393037,17404,,39.9800253,-76.7814173
PA,"GOOD SHEPHERD REHABILITATION HOSPITAL, THE","393035 - 850 SOUTH FIFTH STREET, ALLENTOWN, PA, 18103, USA",6107763100,19,0,19,1,1,1,1.0,393035,18103,0,40.593185,-75.4647409
PA,MAGEE REHABILITATION HOSPITAL,"393038 - SIX FRANKLIN PLAZA, PHILADELPHIA, PA, 19102, USA",2155873000,83,14,,1,2,2,2.0,393038,19102,,39.9570099,-75.169176
PA,PENN STATE HEALTH REHABILITATION HOSPITAL,"393053 - 1135 OLD WEST CHOCOLATE AVE, HUMMELSTOWN, PA, 17036, USA",7178322600,10,0,21,1,1,1,2.0,393053,17036,,40.2730728,-76.6868386
PA,UPMC CHILDREN'S HOSPITAL OF PITTSBURGH,"393302 - ONE CHILDREN'S HOSPITAL DRIVE, PITTSBURGH, PA, 15224, USA",4126925325,8,0,21,1,1,3,1.0,393302,15224,0,40.4664773,-79.9522935
PA,CONEMAUGH MEMORIAL MEDICAL CENTER,"390110 - 1086 FRANKLIN STREET, JOHNSTOWN, PA, 15905, USA",8145349000,,,,,,,2.0,390110,15905,,40.3047101,-78.91870229999999
PA,MOSS REHAB HOSP,"393033 - NORTH 12TH STREET & TABOR ROAD, PHILADELPHIA, PA, 19141, USA",2154569900,,14,,1,0,1,2.0,393033,19141,,40.7219694,-73.9569635
SD,LIFESCAPE,"433300 - 2501 W 26TH ST, SIOUX FALLS, SD, 57105, USA",6054449500,18,0,21,1,1,1,1.0,433300,57105,1,43.5285837,-96.755505
SD,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SIOUX FALLS,"433027 - 4700 W 69TH STREET, SIOUX FALLS, SD, 57108, USA",6053055600,40,16,,2,0,0,2.0,433027,57108,,43.490445,-96.7852894
IL,ADVOCATE CHILDREN'S HOSPITAL -OAK LAWN,"140208 - 4440 W 95TH STREET, OAK LAWN, IL, 60453, USA",7086848000,4,0,,1,0,1,1.0,140208,60453,0,41.7234117,-87.73307090000002
IL,ADVOCATE LUTHERAN GENERAL HOSPITAL,"140223 - 1775 DEMPSTER ST, PARK RIDGE, IL, 60068, USA",8477232210,40,12,,1,0,0,2.0,140223,60068,,42.0401829,-87.8492778
IL,BLESSING HOSPITAL,"140015 - BROADWAY ST & N 11TH ST, QUINCY, IL, 62305, USA",2172231200,16,12,,1,0,1,2.0,140015,62305,,40.7594434,-73.9851362
IL,CARLE FOUNDATION HOSPITAL,"140091 - 611 WEST PARK STREET, URBANA, IL, 61801, USA",2173833311,,,,,,,3.0,140091,61801,,40.1178765,-88.2138667
IL,VAN MATRE ENCOMPASS HEALTH REHABILITATION HOSPITAL,"140302 - 950 S MULFORD ROAD, ROCKFORD, IL, 61108, USA",8153818500,65,15,,1,0,0,2.0,140302,61108,,42.2585304,-88.9968671
IL,SAINT FRANCIS MEDICAL CENTER,"140067 - 530 NE GLEN OAK AVE, PEORIA, IL, 61637, USA",3096552000,27,13,,1,0,1,2.0,140067,61637,,40.7019828,-89.5905744
IL,SSM HEALTH GOOD SAMARITAN HOSPITAL - MT VERNON,"140046 - 1 GOOD SAMARITAN WAY, MOUNT VERNON, IL, 62864, USA",6182424600,10,16,,1,0,1,2.0,140046,62864,,38.2972482,-88.93775749999999
IL,TRINITY ROCK ISLAND,"140280 - 2701 17TH ST, ROCK ISLAND, IL, 61201, USA",3097795000,18,16,,1,0,1,3.0,140280,61201,,41.4828244,-90.57027049999999
IL,CHILDREN'S HABILITATION CENTER,"14G248 - 121 WEST 154TH STREET, HARVEY, IL, 60426, USA",7085962220,65,,,1,1,0,1.0,14G248,60426,1,41.6101938,-87.6640467
IL,LA RABIDA CHILDREN'S HOSPITAL,"143301 - E 65TH ST AT LAKE MICHIGAN, CHICAGO, IL, 60649, USA",7733636700,39,0,18,1,1,1,1.0,143301,60649,1,41.7768305,-87.6015908
IL,MARYVILLE CHILDREN'S HC CENTER,"144036 - 555 WILSON LANE, DES PLAINES, IL, 60016, USA",7732053606,12,0,21,1,1,1,1.0,144036,60016,1,42.0428132,-87.87913689999999
VA,CHILDREN'S HOSPITAL OF THE KING'S DAUGHTERS,"493301 - 601 CHILDREN'S LANE, NORFOLK, VA, 23507, USA",7576687000,8,,21,1,1,2,1.0,493301,23507,0,36.8615001,-76.30186239999999
VA,LAKE TAYLOR TRANSITIONAL CARE HOSPITALÂ ,"492001 - 1309 KEMPSVILLE ROAD, NORFOLK, VA, 23502, USA",7574615001,25,0,21,1,1,1,1.0,492001,23502,0,36.8658691,-76.2063431
VA,SHELTERING ARMS INSTITUTE,"493036 - 2000 WILKES RIDGE PLACE, RICHMOND, VA, 23233, USA",8048774000,114,14,,2,2,,2.0,493036,23233,,37.6599917,-77.6502581
VA,CHILDREN'S HOSP OF RICHMOND OF THE VCU HEALTH SYS,"493302 - 2924 BROOK ROAD, RICHMOND, VA, 23220, USA",8043217474,45,0,21,1,1,0,1.0,493302,23220,0,37.5707689,-77.45080990000001
VA,ILIFF NURSING AND REHABILITATION CENTER,"495205 - 8000 ILIFF DRIVE, DUNN LORING, VA, 22027, USA",7035601000,43,0,21,1,1,1,1.0,495205,22027,0,38.8895095,-77.2218915
